Sl.no,Gender,Mood,Weather,Occasion,Output
1,Male,Excited,Sunny,Formal,"A western suit without a tie, white shirt beneath, and brown formal pants."
2,Male,Excited,Sunny,Ethnic,"The kurta features delicate mirror work, adding a festive sparkle that complements the sunny weather."
3,Male,Excited,Sunny,Party,A stylish blazer over a patterned shirt and dark jeans.
4,Male,Excited,Sunny,Casual,A casual t-shirt with jeans and sneakers.
5,Male,Excited,Cloudy,Formal,"A western suit without a tie, white shirt beneath, and brown formal pants."
6,Male,Excited,Cloudy,Ethnic,A traditional kurta with churidar and a light waistcoat.
7,Male,Excited,Cloudy,Party,A stylish blazer over a patterned shirt and dark jeans.
8,Male,Excited,Cloudy,Casual,A casual t-shirt with jeans and sneakers.
9,Male,Excited,Rainy,Formal,"A western suit without a tie, white shirt beneath, and brown formal pants."
10,Male,Excited,Rainy,Ethnic,A bright yellow silk kurta with intricate embroidery paired with a white churidar.
11,Male,Excited,Rainy,Party,A stylish blazer over a patterned shirt and dark jeans.
12,Male,Excited,Rainy,Casual,A casual t-shirt with jeans and sneakers.
13,Male,Excited,Cool,Formal,"A western suit without a tie, white shirt beneath, and brown formal pants."
14,Male,Excited,Cool,Ethnic,A traditional kurta with churidar and a light waistcoat.The vibrant colors and intricate designs reflect a joyful and celebratory mood.
15,Male,Excited,Cool,Party,A stylish blazer over a patterned shirt and dark jeans.
16,Male,Excited,Cool,Casual,A casual t-shirt with jeans and sneakers.
17,Male,Mellow,Sunny,Formal,"A western suit without a tie, white shirt beneath, and brown formal pants."
18,Male,Mellow,Sunny,Ethnic,A traditional kurta with churidar and a light waistcoat.
19,Male,Mellow,Sunny,Party,A stylish blazer over a patterned shirt and dark jeans.
20,Male,Mellow,Sunny,Casual,A casual t-shirt with jeans and sneakers.
21,Male,Mellow,Cloudy,Formal,"A western suit without a tie, white shirt beneath, and brown formal pants."
22,Male,Mellow,Cloudy,Ethnic,A traditional kurta with churidar and a light waistcoat.
23,Male,Mellow,Cloudy,Party,A stylish blazer over a patterned shirt and dark jeans.
